,dc.keywords
1743,cultural heritage
1744,semantic web
1745,altmetrics
1746,research evaluation
1747,bibliometric indicators
1748,covid-19
1749,sars-cov-2
1750,ncov-2019
1751,collection
1752,cultural heritage
1753,ontology design patterns
1754,recurrent events
1755,frame semantics
1756,image schemas
1757,knowledge graphs
1758,linguistic linked data
1759,ontology alignment
1760,prepositions
1761,arco
1762,ontology
1763,ontology network
1764,cultural heritage
1765,linked data
1766,knowledge graphs
1767,knowledge graphs
1768,cultural heritage
1769,ontology design
1770,linked data
1771,atlas of paths
1772,cultural heritage
1773,formal ontology
1774,cognitive semantics
1775,frames
1776,knowledge patterns
1777,relations
1778,roles
1779,semantic interoperability
1780,conversational agents
1781,human–robot interaction
1782,natural language processing
1783,socially assistive robotics
1784,spoken dialogue systems
1785,compositionality
1786,frame semantics
1787,knowledge graphs
1788,natural language
1789,social robots
1790,ontology design
1791,geriatric assessment
1792,reminiscence therapy
1793,formal ontology
1794,knowledge extraction
1795,metaphor semantics
1796,artificial intelligence
1797,compliance
1798,consumers
1799,knowledge patterns
1800,nlp
1801,ontology
1802,privacy and data protection
1803,privacy policies
1804,computer science (all)
1805,theoretical computer science
1806,computer science (all)
1807,metaphor representation
1808,linked data
1809,semantic web
1810,data flows
1811,policies
1812,policy propagation
1813,semantic web
1814,formal concept analysis
1816,robot experience stories
1817,sitlog
1818,service robot
1819,narrative generation
1820,semantic web
1821,semantic web
1822,semantic web
1823,companion robots
1824,ontology
1825,semantic web
1826,amr
1827,fred
1828,knowledge extraction
1829,formal translation
1830,comprehensive geriatric assessment
1831,ontology network
1832,ontology
1833,robotics
1834,online catalogue
1835,music data
1836,linked open data
1837,knowledge reconciliation
1838,frame embeddings
1839,framester
1840,co-reference resolution
1841,embeddings
1842,knowledge graph
1843,similarity detection
1844,dependency parsing
1845,knowledge graphs
1846,semantic parsing
1847,artificial intelligence
1848,natural language processing
1849,web semantics
1850,reminiscence
1851,companion robots
1852,semantic web
1853,ontology
1854,frame
1855,semantics
1856,ontology matching
1857,integration
1858,interoperability
1859,linked open data
1860,ontology
1861,semantic web
1862,cultural heritage
1863,event extraction
1864,knowledge extraction
1865,linked data
1866,machine reading
1867,semantic web
1868,linked data
1869,midi
1870,music interoperability
1871,adjective semantics
1872,formal ontology
1873,knowledge extraction
1874,association mining
1875,incremental learning
1876,workflows
1877,citizen engagement
1878,cloud computing
1879,linked open data
1880,smart city
1881,smart governance
1882,foaf
1883,human relations
1884,linked data
1885,ontology
1886,ontology desing pattern
1887,affordance
1888,behavior arbitration
1889,case-based legal reasoning
1890,judicial interpretation
1891,legal knowledge modeling
1892,ontology design patterns
1893,owl2
1894,ontology design patterns
1895,research question
1896,semantic web
1897,data handling
1898,academic conferences
1899,linked data
1900,ontology design
1901,open sources
1902,semantic web
1903,ontology design patterns
1904,dolce
1905,descriptions and situations
1906,event extraction
1907,lived experiences extraction
1908,machine reading
1909,semantic web
1910,user reviews
1911,frame detection
1912,framester
1913,framenet
1914,framenet coverage
1915,knowledge graphs
1916,frame semantics
1917,linguistic linked data
1918,abstractive summarisation
1919,link semantics
1920,open information extraction
1921,open knowledge extraction
1922,relation extraction
1923,knowledge extraction
1924,linked open data
1925,machine reading
1926,semantic web
1927,coreference resolution
1928,graph alignment
1929,knowledge base integration
1930,knowledge reconciliation
1931,n-ary relations
1932,knowledge pattern
1933,owl
1934,ontology design
1935,ontology design patterns
1936,ontology engineering
1937,owl
1938,dbpedia
1939,entity recognition
1940,knowledge base
1941,knowledge extraction
1942,data mining
1943,fuzzy sets
1944,ontology
1945,lexical database
1946,membership degrees
1947,formal concept analysis
1948,linked data
1949,ontology design
1950,event extraction
1951,machine reading
1952,semantic web
1953,user reviews
1954,computer science (all)
1955,mathematics (all)
1956,datanode
1957,formal concept analysis
1958,rdf licenses
1959,knowledge integration
1960,machine reading
1961,semantic reconciliation
1962,conceptual frames
1963,opinion mining
1964,sentic computing
1965,sentiment analysis
1966,anti-pattern
1967,data quality
1968,dbpedia
1969,dolce
1970,formal ontologies
1971,foundational ontologies
1972,graph mining
1973,ntural language processing
1974,semantic web
1975,knowledge extraction
1976,fred
1977,domain adaptation
1978,frame semantics
1979,framenet
1980,linguistic meta model
1981,ontology learning
1982,ontology design patterns
1983,ontology refinement
1984,ontology learning
1985,spatial reference systems
1986,semantic web
1987,robotics
1988,embodiment
1989,spatial cognition
1990,dbpedia
1991,semantic relations
1992,semantic web
1993,knowledge extraction
1994,theoretical computer science
1995,computer science (all)
1996,n-ary relations
1997,ontology design patterns
1998,theoretical computer science
1999,computer science (all)
2000,knowledge engineering
2001,empirical knowledge representation
2002,time representation
2003,owl
2004,semantic web
2005,computational linguistics
2006,language resources
2007,common sense
2008,collaborative environment
2009,knowledge engineering
2010,software engineering
2011,semantic web
2012,knowledge enginnering
2013,knowledge engineering
2014,semantic web
2015,discourse representation theory
2016,frame detection
2017,knowledge extraction
2018,robust ontology design
2019,theoretical computer science
2020,computer science (all)
2021,ontology design
2022,ontology networks
2023,ontology engineering
2024,knowledge engineering
2025,semantic web
2026,knowledge patterns
2027,linked data
2028,semantic web
2029,semantic search
2030,wikipedia
2031,knowledge pattern
2032,artificial intelligence
2033,ontologies
2034,lexique
2035,frame semantics
2036,web sémantique
2037,technologies sémantiques
2038,semantic web
2039,search
2040,knowledge engineering
2041,knowledge pattern
2042,legal knowledge
2043,ontology engineering
2044,legal domain
2045,social ontology
2046,ontology design
2047,interaction patterns
2048,content management systems
2049,linked data
2050,interactive systems
2051,artificial intelligence
2052,semantic web
2053,rdf
2054,ontology
2055,visualisation
2056,widgets
2057,ontologies
2058,semantic web
2059,linked data
2060,knowledge engineering
2061,knowledge patterns
2062,cognitive science
2063,frames
2064,semantic web
2065,ontology design patterns
2066,domain ontologies
2067,ontology design
2068,social norms
2069,plans
2070,descriptions and situations
2071,social collectives
2072,intentionality
2073,ontology
2074,semantic web
2075,applications
2076,ontologie
2077,lexical semantics
2078,semantic web
2079,rappresentazione della conoscenza
2080,ontology
2081,software architecture
2082,modularisation
2083,core ontology of services
2084,daml-s
2085,descriptions and situations
2086,dolce
2087,owl-s
2088,semantic web
2089,web services
2090,ecdotica filologia testuale
2091,filologia italiana
2092,critica del testo
2093,ecdotica
2094,teoria del testo
2096,filologia italiana
2097,ecdotica
2098,letteratura italiana
2099,letteratura italiana
2100,filologia italiana
2101,linguistica italiana
2102,scrittura contemporanea
2103,settecento
2104,riforme
2105,letteratura
2106,arte
2107,legislazione
2108,carlo emilio gadda
2109,grande guerra
2110,diari
2111,edizione critica
2112,caporetto
2113,memorialistica
2114,dante
2115,foscolo
2116,leopardi
2117,manzoni
2118,commedia
2119,fauriel
2121,filologia d’autore
2122,ecdotica
2123,critica delle varianti
2124,critica genetica
2125,alberto blecua
2126,dante isella
2127,lope de vega
2128,giacomo leopardi
2129,alessandro manzoni
2130,carlo emilio gadda
2132,filologia d’autore
2133,ecdotica
2134,critica delle varianti
2135,critica geneticav alberto blecua
2136,dante isella
2137,lope de vega
2138,giacomo leopardi
2139,alessandro manzoni
2140,carlo emilio gadda
2142,filologia della letteratura italiana
2143,critica del testo
2144,critica genetica
2145,filologia d'autore
2146,alberto savinio
2147,carlo emilio gadda
2148,giorgio bassani
2149,alberto savinio
2150,nuova enciclopedia
2151,letteratura italiana moderna e contemporanea
2152,filologia d'autore
2153,filologia della letteratura italiana
2154,filologia d'autore
2155,filologia italiana
2156,critica delle varianti
2157,stéphane mallarmé
2158,paul valéry
2159,gianfranco contini
2160,benedetto croce
2161,lanfranco caretti
2162,francesco petrarca
2163,ludovico ariosto
2164,giacomo leopardi
2166,mario tobino
2167,medical humanities
2168,le libere donne di magliano
2169,il deserto della libia
2170,per le antiche scale
2171,psichiatria e letteratura
2172,carlo emilio gadda
2173,letteratura italiana contemporanea
2174,lessicografia
2175,letteratura italiana
2176,linguistica italiana
2177,lingua italiana
2178,didattica della lingua italiana
2179,grammatica italiana
2180,letteratura italiana
2181,letteratura moderna e contemporanea
2183,dante alighieri
2184,divina commedia
2185,foscolo
2186,leopardi
2187,manzoni
2188,rossetti
2189,scartazzini
2190,witte
2191,camerini
2192,cannizzaro
2194,dante alighieri
2195,divina commedia
2196,foscolo
2197,witte
2198,scartazzini
2199,cannizzaro
2200,porta
2201,tommaseo
2202,camerini
2203,mots-clés : critique génétique
2204,philologie d’auteur
2205,carlo emilio gadda
2206,alberto savinio
2207,giorgio
2208,bassani
2209,carlo emilio gadda
2210,biblioteche d'autore
2211,letteratura italiana moderna e contemporanea
2213,letteratura italiana
2214,bibliografia
2215,filologia italiana
2216,critica del testo
2217,scholarly editing
2218,carlo emilio gadda
2219,fascismo
2220,eros e priapo
2221,intertestualità
2222,interdiscorsività
2224,letteratura italiana
2225,bibliografia
2226,giorgio caproni
2227,letteratura italiana moderna e contemporanea
2228,letteratura italiana
2229,primo levi
2230,bibliografie
2231,letteratura italiana moderna e contemporanea
2232,dante alighieri
2233,divina commedia
2234,francesco flora
2235,università di bologna
2237,giacomo leopardi
2238,scholarly digital editions
2239,idilli
2240,edizioni critiche digitali
2241,filologia d'autore
2243,letteratura italiana
2244,editoria
2245,edizioni digitali
2246,scholarly editing
2247,filologia italiana
2248,critica testuale
2249,archivi digitali
2250,digital library
2251,filologia italiana
2252,giacomo leopardi
2253,letteratura italiana
2254,ecdotica
2255,filologia d'autore
2257,leopardi
2258,edizioni digitali
2259,«idilli»
2260,reflectance transformation imaging (rti)
2261,letteratura italiana
2262,edizioni digitali
2263,scholarly editing
2264,testo digitale
2265,archivi digitali
2267,carlo emilio gadda
2268,eros e priapo
2269,il libro delle furie
2270,filologia d'autore
2271,critica delle varianti
2272,pier paolo pasolini
2273,«officina»
2274,fascismo
2275,dante
2276,gadda
2277,prima guerra mondiale
2278,letteratura italiana
2279,letteratura moderna e contemporanea
2280,letteratura italiana
2281,digital humanities
2282,filologia italiana
2283,letteratura italiana
2284,eugenio montale
2285,letteratura moderna e contemporanea
2286,poesia del novecento
2288,letteratura italiaa
2289,napoleone
2290,ugo foscolo
2291,poesia italiana dell'ottocento
2293,letteratura italiana
2294,alessandro bonsanti
2295,carlo emilio gadda
2296,archivi del novecento
2298,autore
2299,scrittura
2300,filologia italiana
2301,linguistica italiana
2302,filologia d'autore
2303,editing
2305,digital scholarly editing
2306,authorial philology
2307,censorship
2308,benedetto varchi
2309,renaissance history
2310,italian renaissance literature
2312,italian philology
2313,authorial philology
2314,textual criticism
2315,genetic criticism
2317,aldo moro
2318,filologia d'autore
2319,critica del testo
2320,filologia italiana
2322,letteratura italiana
2323,filologia
2324,testi digitali
2325,digital humanities
2326,manzoni
2327,leopardi
2328,filologia d'autore
2329,scholarly editions
2331,letteratura italiana
2332,alessandro manzoni
2333,i promessi sposi
2334,la storia della colonna infame
2336,gianfranco contini
2337,einaudi editore
2338,letteratura italiana
2339,letteratura italiana moderna e contemporanea
2341,letteratura italiana
2342,alessandro manzoni
2343,i promessi sposi
2344,la storia della colonna infame
2346,letteratura italiana
2347,alessandro manzoni
2348,i promessi sposi
2349,silvio pellico
2350,federico confalonieri
2351,carboneria
2352,letteratura italiana
2353,letteratura italiana moderna e contemporanea
2354,romanzo del novecento
2355,carlo emilio gadda
2356,psicoanalisi
2357,filologia italiana
2358,critica delle varianti
2359,critica genetica
2360,filologia d'autore
2361,gianfranco contini
2362,paul valéry
2363,benedetto croce
2364,letteratura italiana
2365,letteratura moderna e contemporanea
2366,carlo emilio gadda
2367,giorgio bassani
2368,"""paragone"""
2369,quer pasticciaccio brutto de via merulana
2370,psicoanalisi
2371,"""botteghe oscure"""
2372,authorial philology
2373,variants criticism
2374,wiki leopardi
2375,ecdosys leopardi
2376,wiki
2377,gadda
2378,filologia d’autore
2379,edizioni digitali
2380,scholarly edition
2381,critica delle varianti
2382,filologia d'autore
2383,critica delle varianti
2384,gianfranco contini
2385,letteratura italiana
2386,authorship
2388,illuminismo
2389,critica delle varianti
2390,filologia d'autore
2391,pietro verri
2392,vittorio alfieri
2393,vincenzo monti
2394,alessandro manzoni
2396,manzoni
2397,pirandello
2398,edizioni digitali
2399,romanzo
2400,carlo emilio gadda
2401,classici
2402,virgilio
2403,catullo
2404,cicerone
2405,la cognizione del dolore
2407,letteratura italiana
2408,letteratura italiana contemporanea
2409,editoria
2410,storia del libro
2411,editing
2413,alberto savinio
2414,letteratura italiana contemporanea
2415,valentino bompiani
2416,editoria
2417,manzoni
2418,alessandro
2419,d’azeglio
2420,cesare
2421,romanticismo
2423,lettera sul romanticismo
2424,keywords
2425,manzoni
2426,alessandro
2427,d’azeglio
2428,cesare
2429,romanticism
2431,letter on romanticism
2432,letteratura italiana
2433,romanticismo
2434,alessandro manzoni
2435,filologia italiana
2436,filologia d'autore
2438,francesco petrarca
2439,codice degli abbozzi
2440,varianti
2441,filologia d'autore
2442,federico ubaldini
2443,urbano viii
2444,canzoniere
2446,letteratura italiana
2447,giacomo leopardi
2448,poesia dell'ottocento
2449,romanticismo
2450,canti
2452,letteratura italiana
2453,manzoni
2454,romanzo
2455,promessi sposi
2457,filologia italiana
2458,ecdotica
2459,filologia d'autore
2460,digital humanities
2462,gianfranco contini
2463,letteratura francese
2464,simbolismo
2465,benedetto croce
2466,critica delle varianti
2467,critica genetica
2468,filologia d'autore
2469,mallarmé
2470,valéry
2471,proust
2473,filologia d'autore
2474,fotonica
2475,authorship
2476,imaging
2477,edizioni critiche
2478,edizioni scientifiche
2479,manzoni
2480,alessandro
2481,i promessi sposi
2482,varianti
2483,ventisettana
2484,seconda minuta
2485,letteratura italiana contemporanea
2486,archivi
2487,letteratura del novecento
2489,filologia d'autore
2490,dante isella
2491,critica delle varianti
2492,giuseppe parini
2493,carlo emilio gadda
2494,vittorio sereni
2495,alessandro manzoni
2496,leo spitzer
2497,carlo dossi
2498,carlo porta
2499,delio tessa
2500,eugenio montale
2502,letteratura italiana
2503,letteratura moderne e contemporanea
2504,filologia italiana
2505,filologia d'autore
2506,filologia editoriale
2507,romanzo
2508,editoria
2510,leopardi
2511,manoscritti
2512,filologia
2513,filologia d'autore
2514,letteratura italiana dell'ottocento
2515,paleografia
2516,poesia italiana dell'ottocento
2517,romanticismo
2519,carlo emilio gadda
2520,linguaggio
2521,elettrotecnica
2522,eros e priapo
2523,fascismo
2524,letteratura italiana
2525,filologia italiana
2526,filologia editoriale
2527,letteratura del novecento
2528,filologia d'autore
2530,alberto savinio
2531,letteratura italiana del novecento
2532,metafisica
2533,filologia d'autore
2534,valentino bompiani
2535,mario tobino
2536,leonardo sciascia
2537,letteratura italiana
2539,letteratura italiana
2540,collodi
2541,pinocchio
2542,digital humanities
2543,filologia italiana
2545,manosacritti
2546,archivi
2547,filologia
2548,filologia d'autore
2549,paleografia
2550,giacomo leopardi
2551,infinito
2552,idillio
2553,luigi blasucci
2554,autografi
2555,manoscritti
2556,filologia d'autore
2557,critica genetica
2558,ariosto
2559,gadda
2560,manzoni
2561,bassani
2562,filologia d'autore
2563,letteratura italiana
2564,letteratura moderna e contemporanea
2565,filologia della letteratura italiana
2566,carlo emilio gadda
2567,manoscritti
2568,varianti d'autore
2569,critica delle varianti
2571,confocal microscopy
2572,diffraction limit
2573,ink
2574,paper
2575,schottky diode detector
2576,terahertz
2577,radiation
2578,instrumentation
2579,condensed matter physics
2580,electrical and electronic engineering
2581,filologia editoriale
2582,edizioni critiche
2583,edizioni critiche digitali
2584,testi in raccolta
2585,opere complete
2586,letteratura italiana
2587,letteratura moderna e contemporanea
2588,giorgio bassani
2589,filologia editoriale
2591,epistolari
2592,lettere
2593,carteggi
2594,giacomo leopardi
2595,ecdotica
2597,bibliofilia
2598,antiquaria
2599,filologia
2600,letteratura italiana
2601,letteratura moderna e contemporanea
2602,luigi fallacara
2603,filologia italiana
2604,filologia d'autore
2606,textual studies
2607,digital humanities
2608,scholarly editions
2609,ecdotica
2610,scholarly editions
2611,filologia italiana
2612,digital humanities
2613,filologia d'autore
2614,carlo emilio gadda
2615,alessandro manzoni
2616,ferdinando pessoa
2617,friedrich nietzsche
2618,jane austen
2619,marcel proust
2621,letteratura italiana
2622,scholarly editions
2623,filologia della letteratura italiana
2624,google
2625,edizioni
2626,editing
2628,autografia
2629,autenticità
2630,filologia d'autore
2631,eugenio montale
2632,annalisa cima
2633,diario postumo
2634,google
2635,lettori
2636,wiki-source
2637,edizioni digitali
2638,testi in rete
2639,manzoni
2640,filologia italiana
2641,edizioni critiche digitali
2642,digital humanities
2643,carlo emilio gadda
2644,wiki edizioni
2645,filologia d'autore
2647,letteratura italiana
2648,letteratura moderna e contemporanea
2649,filologia italiana
2650,carlo emilio gadda
2651,fascismo
2652,freud
2653,psicoanalisi
2655,giacomo leopardi
2656,filologia d'autore
2657,poesia dell'ottocento
2658,letteratura italiana
2659,letteratura moderna e contemporanea
2660,biblioteche d'autore
2662,carlo emilio gadda
2663,eros e priapo
2664,fascismo
2665,letteratura italiana
2666,letteratura italiana
2667,filologia della letteratura italiana
2668,filologia d'autore
2669,gianfranco contini
2670,benedetto croce
2671,alessandro manzoni
2672,carlo goldoni
2674,letteratura italiana
2675,letteratura italiana moderna e contemporanea
2676,carlo emilio gadda
2677,digital humanities
2679,alberto savinio
2680,alessandro manzoni
2681,fascismo
2682,leonardo sciascia
2683,letteratura del novecento
2684,mario tobino
2685,romanzo storico
2687,zibaldone
2688,operette morali
2689,giacomo leopardi
2690,letteratura contemporanea
2691,moral philosophy
2692,letteratura italiana
2693,carlo emilio gadda
2694,unpublished notes
2695,letteratura italiana
2696,archivi
2697,biblioteche
2698,manoscritti
2699,gadda
2700,filologia
2701,editoria
2702,ecdotica
2703,letteratura italiana del novecento
2704,letteratura del novecento
2705,editoria
2706,filologia
2707,editing
2708,letteratura italiana
2709,letteratura dell'ottocento
2710,giacomo leopardi
2711,poesia
2712,filologia italiana
2713,filologia d'autore
2715,alberto savinio
2716,letteratura italiana
2717,letteratura del novecento
2718,europa
2719,bompiani editore
2720,letteratura italiana
2721,poesia italiana
2722,giacomo leopardi
2723,versi
2724,traduzioni
2725,lingua italiana
2726,scrittura professionale
2727,didattica dell'italiano
2728,scrittura argomentativa
2729,letteratura italiana
2730,letteratura italiana contemporanea
2731,unpublished notes
2732,carlo emilio gadda
2733,giacomo leopardi
2734,filologia italiana
2735,critica del testo
2736,letteratura ed editoria nel novecento
2737,letteratura italiana
2738,carlo emilio gadda
2739,eugenio montale
2740,letteratura del novecento
2741,letteratura italiana
2742,letteratura moderna e contemporanea
2743,carlo emilio gadda
2744,fascismo
2746,letteratura italiana
2747,letteratura italiana contemporanea
2748,mario tobino
2749,resistenza
2750,letteratura italiana
2751,letteratura italiana contemporanea
2752,giovanni papini
2753,giuseppe prezzolini
2754,archivi del novecento
2756,letteratura italiana
2757,letteratura contemporanea
2758,alberto savinio
2759,opera lirica
2760,libretti
2761,letteratura italiana
2762,letteratura italiana contemporanea
2763,filologia italiana
2764,attribuzionismo
2765,autorialità
2766,eugenio montale
2767,stilometria
2768,letteratura italiana
2769,letteratura moderna e contemporanea
2770,anna banti
2771,roberto longhi
2772,giorgio bassani
2774,letteratura italiana
2775,letteratura moderna e contemporanea
2776,mario tobino
2777,mino maccari
2778,letteratura italiana
2779,letteratura moderna e contemporanea
2780,mario tobino
2781,biblioteche d'autore
2783,letteratura italiana
2784,letteratura italiana del novecento
2785,textual scholarship
2786,bibliografia testuale
2788,letteratura italiana
2789,filologia della letteratura italiana
2790,digital humanities
2792,letteratura italiana
2793,letteratura italiana moderna e contemporanea
2794,carlo emilio gadda
2795,fascismo
2796,psicoanalisi
2797,letteratura italiana
2798,letteratura moderna e contemporanea
2799,mario tobino
2800,psichiatria
2802,letteratura italiana
2803,letteratura moderna e contemporanea
2804,editoria
2805,cesare pavese
2806,einaudi editore
2807,renato poggioli
2809,letteratura italiana
2810,letteratura contemporanea
2811,filologia romanza
2812,editoria
2813,archivi del novecento
2814,gianfranco contini
2816,letteratura italiana
2817,letteratura contemporanea
2818,resistenza
2819,gianfranco contini
2820,sandro sinigaglia
2821,carteggi
2822,letteratura italiana
2823,carlo emilio gadda
2824,racconti
2825,letteratura italiana
2826,letteratura moderna e contemporanea
2827,arte del novecento
2828,alberto savinio
2829,scuola metafisica
2830,filologia della letteratura italiana
2831,ecdotica
2832,textual scholarship
2834,letteratura italiana
2835,letteratura dell'ottocento
2836,giacomo leopardi
2837,canti
2838,letteratura italiana
2839,letteratura moderna e contemporanea
2840,mario tobino
2841,guerra di libia
2842,letteratura italiana
2843,letteratura moderna e contemporanea
2844,mario tobino
2846,letteratura dell'ottocento
2847,leopardi
2848,montesquieu
2849,poetica
2850,estetica
2851,letteratura italiana
2852,arte contemporanea
2853,arte metafisica
2854,alberto savinio
2855,andrea de chirico
2856,letteratura italiana
2857,letteratura moderna e contemporanea
2858,alberto savinio
2859,valentino bompiani
2860,letteratura italiana
2861,letteratura italiana contemporanea
2862,"""la voce"""
2864,letteratura italiana
2865,letteratura moderna e contemporanea
2866,giorgio bassani
2867,franco fortini
2869,letteratura italiana
2870,bibliografia
2871,carlo emilio gadda
2872,letteratura italiana
2873,letteratura moderna e contemporanea
2874,mario tobino
2876,letteratura italiana
2877,letteratura del rinascimento
2878,poesia dell'ottocento
2879,giacomo leopardi
2881,letteratura italiana
2882,autografi
2883,giacomo leopardi
2884,alessandro manzoni
2885,letteratura italiana
2886,mario tobino
2887,bibliografia
2888,filologia d'autore
2889,filologia della letteratura italiana
2890,manoscritti moderni
2891,autografi
2892,letteratura italiana
2893,storia contemporanea
2894,futurismo
2896,filologia italiana
2897,textual scholarship
2898,editoria digitale
2899,digital humanities
2900,letteratura italiana
2901,poesia del 500
2902,prosa del 500
2903,poesia dell'800
2904,teoria degli stili
2905,epistolografia del 500
2907,letteratura italiana
2908,filologia della letteratura italiana
2909,filologia d'autore
2910,carlo emilio gadda
2911,giacomo leopardi
2912,critica delle varianti
2914,letteratura italiana
2915,letteratura dantesca
2916,letteratura italiana moderna e contemporanea
2917,mario tobino
2918,dante alighieri
2919,letteratura italiana
2920,filologia della letteratura italiana
2921,filologia d'autore
2922,manoscritti
2923,giacomo leopardi
2925,letteratura italiana
2926,giacomo leopardi
2927,canti
2928,poesie disperse
2929,riproduzioni digitali dei manoscritti
2930,riproduzioni digitali delle stampe
2932,letteratura italiana
2933,letteratura italiana del novecento
2934,enrico falqui
2936,textual editing
2937,textual scholarship
2938,ecdotica
2939,filologia italiana
2940,letteratura italiana
2941,letteratura italiana moderna e contemporanea
2942,giaime pintor
2943,letteratura italiana
2944,letteratura monderna e contemporanea
2945,autobiografia
2946,giacomo leopardi
2948,letteratura italiana
2949,letteratura moderna e contemporanea
2950,mario tobino
2951,letteratura italiana
2952,letteratura italiana moderna e contemporanea
2953,carlo emilio gadda
2954,freud
2955,psicoanalisi
2956,fascismo
2957,filologia italiana
2958,letteratura italiana
2959,letteratura italiana moderna e contemporanea
2960,d'annunzio
2961,palazzeschi
2962,futurismo
2964,letteratura italiana
2965,letteratura moderna e contemporanea
2966,filologia della letteratura italiana
2967,giorgio bassani
2969,letteratura italiana
2970,filologia italiana
2971,carlo emilio gadda
2973,letteratura italiana
2974,letteratura moderna e contemporanea
2975,filologia della letteratura italiana
2976,ecdotica
2977,carlo emilio gadda
2979,letteratura italiana
2980,filologia italiana
2981,giacomo leopardi
2982,letteratura italiana
2983,letteratura moderna e contemporanea
2984,carlo emilio gadda
2985,archivi
2987,letteratura italiana
2988,carlo emilio gadda
2989,la cognizione del dolore
2990,letteratura italiana
2991,letteratura del novecento
2992,mario tobino
2993,edizione critica
2994,archivi del novecento
2996,filologia italiana
2997,scholarly editing
2998,textual scholarship
2999,digital humanities
3000,letteratura italiana
3001,manzoni
3002,romanzo storico
3003,promessi sposi
3004,edizione nazionale  ed europea delle opere di alessandro manzoni
3005,letteratura italiana
3006,ugo foscolo
3007,sepolcri
3008,giacomo leopardi
3009,poesia dell'800
3010,letteratura italiana
3011,letteratura italiana moderna e contemporanea
3012,carlo emilio gadda
3013,archivi
3015,letteratura italiana
3016,filologia italiana
3017,letteratura del novecento
3018,scholarly editing
3020,letteratura italiana
3021,epistolari
3022,gabriele d'annunzio
3023,archivi del novecento
3024,elsa morante
3025,letteratura italiana
3026,archivi letterari
3027,epistolari dell'ottocento e del novecento
3028,tommaso grossi
3029,piero
3030,gobetti
3031,ada gobetti
3032,sebastiano timpanaro
3033,cesare cases
3035,letteratura italiana
3036,alessandro manzoni
3037,romanzo
3038,letteratura italiana
3039,filologia italiana
3040,scholarly editing
3042,letteratura italiana
3043,filologia italiana
3044,rextual scholarship
3046,letteratura italiana
3047,vincenzo monti
3048,neoclassicismo
3049,poesia dell'ottocento
3050,letteratura italiana
3051,letteratura italiana moderna e contemporanea
3052,alberto savinio
3053,nazionalismo
3054,letteratura italiana
3055,letteratura dell'ottocento
3056,igino ugo tarchetti
3057,letteratura italiana
3058,letteratura moderna e contemporanea
3059,carlo emilio gadda
3060,glossario
3062,letteratura italiana
3063,letteratura moderna e contemporanea
3064,giorgio bassani
3066,letteratura italiana
3067,letteratura moderna e contemporanea
3068,letteratura del novecento
3069,poesia del novecento
3070,mauro mori
3072,letteratura italiana
3073,letteratura dell'ottocento
3074,giacomo leopardi
3075,filologia italiana
3077,letteratura italiana
3078,letteratura moderna e contemporanea
3079,carlo emilio gadda
3080,letteratura italiana
3081,letteratura moderna e contemporanea
3082,bibliografia
3083,carlo emilio gadda
3084,archivi
3086,letteratura italiana
3087,alberto savinio
3088,andrea de chirico
3089,arte contemporanea
3090,letteratura italiana
3091,metafisica
3092,alberto savinio
3093,giorgio de chirico
3094,linguistica generale
3095,linguistica comparativa
3096,glottologia
3097,linguistica storica
3098,linguistica applicata
3099,linguistica italiana
3100,linguistica generale
3101,linguistica applicata
3102,linguistica italiana
3103,divulgazione
3104,divulgazione scientifica
3105,decipherment
3106,scripts
3107,epigraphy
3108,paleography
3109,computational tools
3110,neural networks
3111,linguistica
3112,bologna
3113,club
3114,frame semantics
3115,frame identification
3116,evaluation
3117,ancient writing systems
3118,deep learning
3119,unsupervised learning
3120,natural language processing
3121,frame identification
3122,evaluation
3123,corpora
3124,italiano
3125,rappresentatività
3126,bilanciamento
3127,anorexia nervosa
3128,clinical linguistics
3129,linguistic marker
3130,eating disorders
3131,adolescence
3132,natural language processing
3133,speech processing
3134,deep learning
3135,mental disorders
3136,automatic speech and language analysis
3137,digital linguistic biomarkers
3138,knowledge
3139,language
3140,linguistics
3141,writing
3142,deep learning
3143,chatbots
3144,dialogue design
3145,pragmatics
3146,dialogflow cx
3147,mild cognitive impairment
3148,dementia screening
3149,natural language processing
3150,linguistic biomarkers
3151,dementia
3152,language and speech analyses
3153,linguistic bio-marker
3154,mild cognitive impairment
3155,nlp techniques
3156,speech recognition
3157,nvidia nemo
3158,italian
3159,linear a script
3160,minoan crete
3161,fraction signs
3162,constraint programming
3163,numerical notations
3164,dialogue design
3165,chatbots
3166,pragmatics
3167,frame semantics
3168,frame induction
3169,iframenet
3170,contextualised word embeddings
3171,italian
3172,evaluation
3173,natural language processing
3174,linguistic markers
3175,feeding and eating disorders
3176,anorexia nervosa
3177,natural language processing
3178,computational linguistics
3179,speech processing
3180,italian
3181,contextualised word embeddings
3182,part-of-speech tagging
3183,spoken language
3184,word sense disambiguation
3185,quantum probability theory
3186,complex embeddings
3187,cognitive psychology
3188,text summarization
3189,contextual embeddings
3190,evaluation measures
3191,natural language processing
3192,word sense disambiguation
3193,quantum probability theory
3194,syntactic analysis
3195,dependency parsing
3196,italian
3197,neural models
3198,ensemble models
3199,pitch detection
3200,pitch smoothing
3201,recurrent neural networks
3202,speech
3203,prosody
3204,pitch smoothing
3205,neural networks
3206,linguistica
3207,parsing
3208,neural networks
3209,italian
3210,universal dependencies
